1659225600000,1697.54000000,1697.74000000,1686.95000000,1687.63000000,125.98850000,1659225899999,213150.58237500,274,51.44740000,87048.46849500,0
1659225900000,1688.14000000,1705.54000000,1688.14000000,1700.73000000,175.18610000,1659226199999,297515.32812900,481,112.45190000,190973.05368500,0
1659226200000,1701.37000000,1701.94000000,1693.12000000,1695.62000000,66.59210000,1659226499999,112998.09080100,253,29.52640000,50097.60044100,0
1659226500000,1695.68000000,1702.22000000,1693.85000000,1700.70000000,80.94000000,1659226799999,137381.13167000,234,39.94050000,67798.67806100,0
1659226800000,1700.00000000,1701.80000000,1696.32000000,1698.43000000,57.65300000,1659227099999,98005.56137200,180,28.34650000,48183.83905900,0
1659227100000,1698.44000000,1700.96000000,1695.61000000,1698.08000000,51.97210000,1659227399999,88280.86612200,166,31.48650000,53489.93808200,0
1659227400000,1698.51000000,1713.19000000,1696.43000000,1709.81000000,228.72290000,1659227699999,390559.08184400,567,127.16110000,217121.47484400,0
1659227700000,1709.56000000,1709.59000000,1703.64000000,1706.27000000,78.44670000,1659227999999,133858.71521100,181,50.60180000,86342.15223200,0
1659228000000,1706.87000000,1710.22000000,1705.05000000,1706.69000000,71.21730000,1659228299999,121561.83626600,193,29.86950000,50990.61710000,0
1659228300000,1706.76000000,1708.08000000,1703.94000000,1705.22000000,26.25030000,1659228599999,44792.36492200,96,11.72090000,19998.18636400,0
1659228600000,1705.38000000,1705.74000000,1700.36000000,1703.25000000,65.74610000,1659228899999,111946.23149500,172,21.33650000,36324.45536800,0
1659228900000,1702.90000000,1712.33000000,1702.85000000,1709.73000000,174.10450000,1659229199999,297338.12777100,372,115.00300000,196358.15361200,0
1659229200000,1709.21000000,1710.71000000,1706.80000000,1710.05000000,104.36500000,1659229499999,178355.27306900,218,47.68700000,81495.24577200,0
1659229500000,1710.09000000,1710.09000000,1704.68000000,1705.95000000,67.50730000,1659229799999,115220.79573900,170,20.51620000,35015.24871800,0
1659229800000,1705.46000000,1707.66000000,1703.76000000,1705.01000000,70.02050000,1659230099999,119441.27374200,175,47.68600000,81359.51363600,0
1659230100000,1704.85000000,1706.38000000,1703.39000000,1703.97000000,60.59290000,1659230399999,103300.62733100,151,35.89810000,61199.44942400,0
1659230400000,1704.02000000,1708.61000000,1702.91000000,1707.30000000,88.96700000,1659230699999,151791.70213600,195,48.43010000,82637.49313200,0
1659230700000,1706.88000000,1709.92000000,1706.48000000,1706.48000000,52.04610000,1659230999999,88910.02084400,142,25.10570000,42892.79128700,0
1659231000000,1706.67000000,1710.30000000,1704.21000000,1704.93000000,58.87400000,1659231299999,100554.64334200,178,35.05440000,59872.74027700,0
1659231300000,1705.15000000,1706.65000000,1695.78000000,1705.68000000,184.98030000,1659231599999,314833.11151600,491,80.02700000,136190.07391500,0
1659231600000,1705.16000000,1705.72000000,1697.30000000,1699.89000000,61.69080000,1659231899999,104851.95108100,187,26.24970000,44604.35567300,0
1659231900000,1699.98000000,1703.35000000,1699.34000000,1702.71000000,39.92770000,1659232199999,67935.21960000,137,21.66180000,36856.20103800,0
1659232200000,1702.32000000,1702.57000000,1696.83000000,1697.64000000,79.25660000,1659232499999,134768.69485400,225,34.51630000,58683.18903100,0
1659232500000,1697.79000000,1709.33000000,1694.92000000,1697.40000000,645.19480000,1659232799999,1097884.53344600,494,459.09900000,782106.10479700,0
1659232800000,1697.38000000,1706.25000000,1696.86000000,1704.80000000,162.12190000,1659233099999,276077.21113500,303,70.10550000,119355.27093000,0
1659233100000,1704.81000000,1709.92000000,1703.63000000,1704.01000000,174.23280000,1659233399999,297365.34883900,304,86.42810000,147516.45090600,0
1659233400000,1704.16000000,1705.88000000,1702.22000000,1702.31000000,66.45910000,1659233699999,113236.00522400,147,27.70080000,47191.01460400,0
1659233700000,1702.55000000,1705.28000000,1702.11000000,1704.59000000,29.37250000,1659233999999,50047.13091300,103,15.65010000,26670.92384700,0
1659234000000,1704.28000000,1704.28000000,1693.46000000,1696.49000000,143.21000000,1659234299999,243114.77735200,361,40.93820000,69472.99411800,0
1659234300000,1695.50000000,1697.00000000,1694.17000000,1695.45000000,38.25440000,1659234599999,64869.61867600,105,11.44990000,19413.64158500,0
1659234600000,1695.44000000,1696.34000000,1691.54000000,1694.24000000,82.64790000,1659234899999,139998.53827700,220,52.17460000,88376.57602300,0
1659234900000,1695.02000000,1698.56000000,1693.26000000,1696.84000000,198.65960000,1659235199999,336793.94684500,221,155.76840000,264102.01847500,0
1659235200000,1696.92000000,1699.12000000,1694.66000000,1696.06000000,144.27890000,1659235499999,244858.47351300,256,66.57270000,113022.47828100,0
1659235500000,1695.51000000,1696.98000000,1693.91000000,1696.49000000,38.45010000,1659235799999,65189.33850700,98,21.60590000,36645.04566800,0
1659235800000,1696.55000000,1697.28000000,1695.95000000,1696.20000000,20.50440000,1659236099999,34792.06568000,56,4.05610000,6882.10364300,0
1659236100000,1695.59000000,1697.12000000,1693.94000000,1696.76000000,24.71530000,1659236399999,41909.15371300,70,9.39430000,15932.49865500,0
1659236400000,1696.83000000,1700.42000000,1693.12000000,1693.49000000,99.45070000,1659236699999,168783.83826100,191,49.02890000,83208.72118900,0
1659236700000,1693.50000000,1698.12000000,1690.54000000,1697.40000000,60.77840000,1659236999999,103027.53047300,178,33.60640000,56990.20432700,0
1659237000000,1697.44000000,1698.36000000,1696.33000000,1697.51000000,14.96510000,1659237299999,25400.16415000,60,3.76310000,6387.05228700,0
